loss,accuracy,lr
5.5063988838810474e-05,1.0,1e-04
5.5021420848788694e-05,1.0,1e-04
5.496181984199211e-05,1.0,1e-04
5.4893702326808125e-05,1.0,1e-04
5.485539077199064e-05,1.0,1e-04
5.4817071941215545e-05,1.0,1e-04
5.475321813719347e-05,1.0,1e-04
5.471490658237599e-05,1.0,1e-04
5.4668078519171104e-05,1.0,1e-04
5.462550325319171e-05,1.0,1e-04
5.456590588437393e-05,1.0,1e-04
5.451056131278165e-05,1.0,1e-04
5.446373688755557e-05,1.0,1e-04
5.4408388677984476e-05,1.0,1e-04
5.4365820687962696e-05,1.0,1e-04
5.431473255157471e-05,1.0,1e-04
5.427216456155293e-05,1.0,1e-04
5.4221080063143745e-05,1.0,1e-04
5.417425199993886e-05,1.0,1e-04
5.412316386355087e-05,1.0,1e-04
5.407207572716288e-05,1.0,1e-04
5.40209912287537e-05,1.0,1e-04
5.398267967393622e-05,1.0,1e-04
5.394436448113993e-05,1.0,1e-04
5.388050340116024e-05,1.0,1e-04
5.383793541113846e-05,1.0,1e-04
5.378684727475047e-05,1.0,1e-04
5.3740022849524394e-05,1.0,1e-04
5.368042184272781e-05,1.0,1e-04
5.364211028791033e-05,1.0,1e-04
5.359101851354353e-05,1.0,1e-04
5.354419772629626e-05,1.0,1e-04
